目标变量,预测天数,best_baseline_name,selection_metric,selection_rule,validation_row_count,validation_MAE,validation_RMSE,validation_sMAPE
MULL,13,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5733236039073986,2.041514626205257,0.692715951477919
MULL,14,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.56222314066102,2.0371087798348504,0.6855042537760381
OT,1,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.2218636431136365,2.799997794694216,0.1352041283413751
OT,2,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.6301818002727275,3.2296901688142947,0.1619891295832279
OT,3,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.798368167918181,3.443751854303464,0.1741397845532991
OT,4,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.84890454485,3.618477690660985,0.1782799730602051
OT,5,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.896213614072727,3.732489372000492,0.1808904869693843
OT,6,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.830663648977272,3.787970013474448,0.1773880496631864
OT,7,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.951518239063636,3.8311386727249706,0.1847424330131952
OT,8,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,3.065327348063636,3.828594876028636,0.1912698932884963
OT,9,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,3.146895524018182,3.8329598239495817,0.1951215921274733
OT,10,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,3.207990963518181,3.8703936279536073,0.1981204574825739
OT,11,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,3.264268182063637,3.953358076432603,0.2004153803360138
OT,12,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,3.398240906927272,4.109139481659209,0.2074461050942765
OT,13,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,3.5347545299818184,4.303933877595235,0.2154875753594431
OT,14,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,3.622686353563636,4.430364718562014,0.2199347394828038
