eval_level,数据集划分,baseline_name,目标变量,预测天数,row_count,MAE,RMSE,sMAPE
target_variable_horizon,测试,mean_last_4,MUFL,13,107.0,1.5555537487873834,2.113987177480028,0.1363473533433873
target_variable_horizon,测试,mean_last_4,MUFL,14,107.0,1.6037219844649533,2.1674139138028488,0.14134825571770288
target_variable_horizon,测试,mean_last_4,MULL,1,107.0,0.709135518817757,0.9398038854787497,0.22210815630224537
target_variable_horizon,测试,mean_last_4,MULL,2,107.0,0.7901822560327103,1.0327530707531731,0.25159671462523864
target_variable_horizon,测试,mean_last_4,MULL,3,107.0,0.815271038686916,1.0585214238681344,0.2637306772486062
target_variable_horizon,测试,mean_last_4,MULL,4,107.0,0.8197383349018693,1.0726121989059365,0.2684738872788771
target_variable_horizon,测试,mean_last_4,MULL,5,107.0,0.8051215179579441,1.0813900022275853,0.2674423878440822
target_variable_horizon,测试,mean_last_4,MULL,6,107.0,0.8150560959345795,1.100470208529189,0.2739532781333885
target_variable_horizon,测试,mean_last_4,MULL,7,107.0,0.845598145953271,1.1381777363827421,0.286773856863916
target_variable_horizon,测试,mean_last_4,MULL,8,107.0,0.8912850610841122,1.1749251727501415,0.3031310997527591
target_variable_horizon,测试,mean_last_4,MULL,9,107.0,0.9045747795093456,1.1865107029910689,0.30811460367099386
target_variable_horizon,测试,mean_last_4,MULL,10,107.0,0.9301822593224298,1.1968622622487897,0.32611972547295487
target_variable_horizon,测试,mean_last_4,MULL,11,107.0,0.9114065611074766,1.1961985506528983,0.3231951983206951
target_variable_horizon,测试,mean_last_4,MULL,12,107.0,0.9034252523738319,1.1997467009215919,0.32805308631797125
target_variable_horizon,测试,mean_last_4,MULL,13,107.0,0.9113925423084114,1.1955297278602441,0.3341112449554707
target_variable_horizon,测试,mean_last_4,MULL,14,107.0,0.92416824167757,1.2187743863888216,0.348230331561948
target_variable_horizon,测试,mean_last_4,OT,1,107.0,1.5507173448084115,2.0072350802381873,0.32927388811653785
target_variable_horizon,测试,mean_last_4,OT,2,107.0,1.7170584573457943,2.261308693788311,0.3572022595904025
target_variable_horizon,测试,mean_last_4,OT,3,107.0,1.8991612473878503,2.4503596899176916,0.39504476508405
target_variable_horizon,测试,mean_last_4,OT,4,107.0,2.033614506654206,2.613879144705951,0.4180673740891591
target_variable_horizon,测试,mean_last_4,OT,5,107.0,2.1575256985607476,2.759253526632199,0.4324178256600946
target_variable_horizon,测试,mean_last_4,OT,6,107.0,2.2571331863317763,2.872811652750403,0.4532791555102517
target_variable_horizon,测试,mean_last_4,OT,7,107.0,2.3449229145934583,2.9565605367194236,0.4714338121397605
target_variable_horizon,测试,mean_last_4,OT,8,107.0,2.3995023457616815,3.0079102863649867,0.4780052216068244
target_variable_horizon,测试,mean_last_4,OT,9,107.0,2.4271191696682246,3.0489830224452783,0.47901585412762304
target_variable_horizon,测试,mean_last_4,OT,10,107.0,2.4843107522056074,3.0563133242177654,0.4908101637935879
target_variable_horizon,测试,mean_last_4,OT,11,107.0,2.481665886308411,3.0427440827707497,0.493136402876448
target_variable_horizon,测试,mean_last_4,OT,12,107.0,2.523707927766355,3.0731828665280068,0.5014555522942172
target_variable_horizon,测试,mean_last_4,OT,13,107.0,2.5605303693317754,3.1197026995366635,0.5041550513423254
target_variable_horizon,测试,mean_last_4,OT,14,107.0,2.5289602812196263,3.149420987823731,0.49953055765081616
target_variable_horizon,测试,weekday_horizon_mean,HUFL,1,107.0,2.3269817173391347,2.917318612161295,0.1569772744283675
